PlayerName,PassYds,YdsAtt,Att,Cmp,TD,INT1,Rate,1st,1st,20,40,Lng,Sck,SckY
 Patrick Mahomes ,8.1,648,435,67.1,12,105.2,272,42,73,13,67,26,188,0
 Justin Herbert ,6.8,699,477,68.2,10,93.2,228,32.6,50,7,55,38,206,0
 Tom Brady ,6.4,733,490,66.8,9,90.7,237,32.3,50,8,63,22,160,0
 Kirk Cousins ,7.1,643,424,65.9,14,92.5,230,35.8,47,10,66,46,329,0
 Joe Burrow ,7.4,606,414,68.3,12,100.8,219,36.1,53,10,60,41,259,0
 Jared Goff ,7.6,587,382,65.1,7,99.3,227,38.7,57,12,81,23,156,0
 Josh Allen ,7.6,567,359,63.3,14,96.6,212,37.4,51,12,98,33,162,0
 Geno Smith ,7.5,572,399,69.8,11,100.9,206,36,50,6,54,46,348,0
 Trevor Lawrence ,7,584,387,66.3,8,95.2,206,35.3,55,3,59,27,184,0
 Jalen Hurts ,8,460,306,66.5,6,101.6,165,35.9,52,11,68,38,231,0
 Aaron Rodgers ,6.8,542,350,64.6,12,91.1,177,32.7,53,6,58,32,258,0
 Tua Tagovailoa ,8.9,400,259,64.8,8,105.5,162,40.5,50,12,84,21,163,0
 Russell Wilson ,7.3,483,292,60.5,11,84.4,142,29.4,54,11,67,55,368,0
 Derek Carr ,7,502,305,60.8,14,86.3,161,32.1,47,8,60,27,191,0
 Daniel Jones ,6.8,472,317,67.2,5,92.5,156,33,27,5,65,44,243,0
 Davis Mills ,6.5,479,292,61,15,78.8,135,28.2,50,7,58,31,244,0
 Matt Ryan ,6.6,461,309,67,13,83.9,156,33.8,33,2,45,38,287,0
 Mac Jones ,6.8,442,288,65.2,11,84.8,127,28.7,42,7,48,34,231,0
 Andy Dalton ,7.6,378,252,66.7,9,95.2,135,35.7,28,7,64,25,189,0
 Dak Prescott ,7.3,394,261,66.2,15,91.1,142,36,37,3,68,20,126,0
 Jacoby Brissett ,7.1,369,236,64,6,88.9,129,35,32,4,55,24,160,0
 Ryan Tannehill ,7.8,325,212,65.2,6,94.6,116,35.7,35,10,69,33,238,0
 Jimmy Garoppolo ,7.9,308,207,67.2,4,103,114,37,31,2,57,18,100,0
 Kenny Pickett ,6.2,389,245,63,9,76.7,123,31.6,28,1,57,27,182,0
 Kyler Murray ,6.1,390,259,66.4,7,87.2,119,30.5,27,0,38,25,192,0
 Justin Fields ,7,318,192,60.4,11,85.2,91,28.6,32,7,56,55,359,0
 Lamar Jackson ,6.9,326,203,62.3,7,91.1,105,32.2,24,4,75,26,114,0
 Marcus Mariota ,7.4,300,184,61.3,9,88.2,111,37,30,4,75,28,195,0
 Baker Mayfield ,6.5,335,201,60,8,79,94,28.1,29,3,75,36,217,0
 Matthew Stafford ,6.9,303,206,68,8,87.4,105,34.6,21,4,75,29,208,0
 Taylor Heinicke ,7.2,259,161,62.2,6,89.6,93,35.9,20,5,61,19,141,0
 Carson Wentz ,6.4,276,172,62.3,9,80.2,85,30.8,22,4,75,26,159,0
 Zach Wilson ,7,242,132,54.6,7,72.8,73,30.2,26,6,79,23,175,0
 Brock Purdy ,8.1,170,114,67.1,4,107.3,66,38.8,20,3,54,11,84,0
 Mitchell Trubisky ,7,180,117,65,5,81.1,65,36.1,16,2,45,11,68,0
 Mike White ,6.8,175,103,58.9,4,75.7,56,32,13,3,60,9,76,0
 Sam Darnold ,8.2,140,82,58.6,3,92.6,57,40.7,17,6,52,10,78,0
 Deshaun Watson ,6.5,170,99,58.2,5,79.1,53,31.2,12,1,46,20,106,0
 Joe Flacco ,5.5,191,110,57.6,3,75.2,55,28.8,7,1,66,10,66,0
 Cooper Rush ,6.5,162,94,58,3,80,52,32.1,13,2,46,7,49,0
 Jameis Winston ,7.5,115,73,63.5,5,79.6,35,30.4,13,4,51,11,74,0
 Bailey Zappe ,8.5,92,65,70.6,3,100.9,37,40.2,14,2,53,6,40,0
 Colt McCoy ,5.9,132,90,68.2,3,76.6,34,25.8,6,1,47,13,97,0
 PJ Walker ,6.9,106,63,59.4,3,78,30,28.3,14,2,62,7,46,0
 Desmond Ridder ,6.2,115,73,63.5,0,86.4,37,32.2,7,1,40,9,33,0
 Teddy Bridgewater ,8.6,79,49,62,4,85.6,32,40.5,7,2,64,7,45,0
 Gardner Minshew ,8.7,76,44,57.9,3,83.4,30,39.5,11,2,78,6,28,0
 Tyler Huntley ,5.9,112,75,67,3,77.2,31,27.7,5,1,40,7,34,0
 Jarrett Stidham ,7.9,83,53,63.9,3,89.2,32,38.6,11,2,60,7,47,0
 Sam Ehlinger ,5.7,101,64,63.4,3,76,28,27.7,7,1,47,14,87,0
 Skylar Thompson ,5.1,105,60,57.1,3,62.2,26,24.8,5,0,32,6,40,0
 Brett Rypien ,5.5,88,53,60.2,4,63.8,24,27.3,1,1,45,8,47,0
 Kyle Allen ,5.3,78,46,59,4,60.6,19,24.4,4,0,39,5,41,0
 Trace McSorley ,5,83,45,54.2,5,42.8,17,20.5,4,1,47,3,27,0
 Joshua Dobbs ,6,68,40,58.8,2,73.8,25,36.8,5,0,39,6,26,0
 David Blough ,6.9,58,38,65.5,2,82.7,18,31,3,1,77,5,24,0
 John Wolford ,6.3,62,38,61.3,3,64.6,19,30.6,4,0,30,7,49,0
 Anthony Brown ,6.2,49,22,44.9,2,48.2,13,26.5,4,1,47,5,14,0
 Malik Willis ,4.5,61,31,50.8,3,42.8,11,18,1,1,48,10,49,0
 Taysom Hill ,12.6,19,13,68.4,0,146.3,11,57.9,4,2,68,2,14,0
 Nick Foles ,5.3,42,25,59.5,4,34.3,9,21.4,1,1,49,8,48,0
 Nick Mullens ,9,25,21,84,1,100.7,11,44,2,0,37,0,0,0
 Jordan Love ,9.3,21,14,66.7,0,112.2,9,42.9,2,1,63,0,0,0
 Trey Lance ,6.3,31,15,48.4,1,55,6,19.4,4,1,44,2,9,0
 Trevor Siemian ,7.1,26,15,57.7,1,76.4,7,26.9,4,0,33,2,14,0
 Sam Howell ,8.9,19,11,57.9,1,83,6,31.6,4,1,52,3,11,0
 Davis Webb ,4.2,40,23,57.5,0,75.8,11,27.5,1,0,25,0,0,0
 Bryce Perkins ,4.7,34,19,55.9,2,53.7,10,29.4,1,0,20,6,50,0
 Nathan Peterman ,5.6,25,14,56,1,68.6,9,36,2,0,28,1,6,0
 Jeff Driskel ,5.4,20,14,70,0,99.6,5,25,1,0,28,2,13,0
 Chris Streveler ,6,15,10,66.7,0,82.6,5,33.3,1,0,30,0,0,0
 Jacob Eason ,11.8,5,3,60,1,61.7,2,40,1,1,49,0,0,0
 Tyrod Taylor ,7.2,8,6,75,1,94.8,3,37.5,0,0,19,3,18,0
 Chase Daniel ,4.3,12,8,66.7,0,103.5,4,33.3,0,0,13,1,1,0
 Brian Hoyer ,6.2,6,5,83.3,0,92.4,2,33.3,1,0,27,1,8,0
 C.J. Beathard ,3.2,11,7,63.6,1,30.5,2,18.2,0,0,11,1,5,0
 Justin Jefferson ,17,2,2,100,0,118.8,2,100,1,0,23,0,0,0
 Christian McCaffrey ,34,1,1,100,0,158.3,1,100,1,0,34,0,0,0
 Tim Boyle ,4.1,8,2,25,2,4.7,2,25,0,0,17,0,0,0
 Blaine Gabbert ,3.6,8,6,75,0,119.3,2,25,0,0,13,0,0,0
 Tyler Boyd ,23,1,1,100,0,118.8,1,100,1,0,23,1,12,0
 Kyle Trask ,2.6,9,3,33.3,0,42.4,1,11.1,0,0,9,0,0,0
 Brandon Allen ,7.3,3,3,100,0,97.2,1,33.3,0,0,13,1,0,0
 Riley Dixon ,9,2,2,100,0,104.2,2,100,0,0,12,0,0,0
 Braden Mann ,8.5,2,1,50,0,79.2,1,50,0,0,17,0,0,0
 Ryan Wright ,6.5,2,1,50,0,70.8,1,50,0,0,13,0,0,0
 Josh Johnson ,5,2,1,50,0,64.6,1,50,0,0,10,0,0,0
 Case Keenum ,1.1,7,2,28.6,0,39.6,0,0,0,0,5,0,0,0
 Jack Fox ,6,1,1,100,0,91.7,1,100,0,0,6,0,0,0
 Najee Harris ,4,1,1,100,0,83.3,0,0,0,0,4,0,0,0
 Derrick Henry ,2,2,2,100,0,118.8,1,50,0,0,3,0,0,0
 Mack Hollins ,4,1,1,100,0,83.3,0,0,0,0,4,0,0,0
 Andy Lee ,4,1,1,100,0,83.3,1,100,0,0,4,0,0,0
 Braxton Berrios ,2,1,1,100,0,118.8,1,100,0,0,2,0,0,0
 Chase Claypool ,1,1,1,100,0,118.8,1,100,0,0,1,0,0,0
 Davante Adams ,0,0,0,0,0,0,0,0,0,0,0,1,10,0
 Rex Burkhead ,0,1,0,0,0,39.6,0,0,0,0,0,0,0,0
 Lawrence Cager ,0,0,0,0,0,0,0,0,0,0,0,1,2,0
 Ja'Marr Chase ,0,0,0,0,0,0,0,0,0,0,0,1,9,0
 Dalvin Cook ,0,0,0,0,0,0,0,0,0,0,0,1,5,0
 Amari Cooper ,0,1,0,0,1,0,0,0,0,0,0,0,0,0
 DeeJay Dallas ,0,1,0,0,1,0,0,0,0,0,0,0,0,0
 Phillip Dorsett ,0,1,0,0,0,39.6,0,0,0,0,0,0,0,0
 Leonard Fournette ,0,1,0,0,1,0,0,0,0,0,0,0,0,0
 Jamie Gillan ,0,0,0,0,0,0,0,0,0,0,0,1,11,0
 Chad Henne ,0,2,0,0,0,39.6,0,0,0,0,0,0,0,0
 Christian Kirk ,0,1,0,0,0,39.6,0,0,0,0,0,0,0,0
 Cooper Kupp ,0,1,0,0,0,39.6,0,0,0,0,0,0,0,0
